accession,celltype,scarvcell_overlap,accession_auditable,n_contexts,n_cells,FSSI,equal_weight_FSSI,pathological_component,repair_component
GSE175990,F2: Universal,False,True,2.0,673.0,-1.0857418933659972,-1.1443412320715993,-0.4710570127938484,1.9524738790895193
GSE175990,F3: FRC-like,False,True,2.0,111.0,-1.2167333256842694,-1.7428986621001052,-1.371769978870823,0.9981250102312643
GSE175990,F4: DS_DPEP1+,False,True,1.0,278.0,-0.75725755240979,-1.2729466225715194,-0.5323106735540402,1.07444227771404
GSE175990,F4: TNN+COCH+,False,True,1.0,14.0,-0.5693685742365533,-0.7641955570413705,-0.2274521550098258,1.0514853569236677
GSE175990,F5: NGFR+,False,True,1.0,14.0,-1.6639946873282532,-2.119253841705332,-1.2159423141597892,2.2957677069329843
GSE175990,F5: RAMP1+,False,True,2.0,21.0,-1.6309455273762477,-2.318245852563047,-1.0356084099209537,2.470396339159115
GSE175990,F6: Inflammatory myofibroblast,False,True,1.0,159.0,0.32419795751658403,0.2386944875570698,0.19613858324589198,-0.5047671552636253
GSE175990,F6: Myofibroblast,False,True,2.0,87.0,0.2574229571678295,0.03151220227026759,0.43733798658512235,-0.003735066612902796
GSE175990,F7: Fascia-like myofibroblast,False,True,2.0,6.0,0.8765018138564885,0.6832280782426966,1.028694059382781,-0.6619042349247565
GSE175990,F_Fascia,False,True,1.0,2.0,0.1136935381760042,0.06932369126919817,0.37373340955822476,0.2529738083196707
GSE181297,F1: Superficial,True,True,1.0,399.0,0.15810763097866404,-0.1877725301532679,-0.04999107910774474,-0.45153571733701375
GSE181297,F2/3: Stroma_PPARG+,True,True,2.0,120.0,-1.171541296346072,-1.4678919231587744,-0.8082979935287106,1.6837298975340744
GSE181297,F2: Universal,True,True,2.0,114.0,-0.3516926662341472,-0.46351034674452624,-0.05927613808338818,0.7640124842628208
GSE181297,F3: FRC-like,True,True,2.0,395.0,-0.6114720675557643,-0.9367840771542147,-0.7407464975622715,0.42918958922552947
GSE181297,F4: DP_HHIP+,True,True,1.0,2.0,-0.09194534882181796,-0.0965690847951467,-1.2193639193455743,-1.4977630810684337
GSE181297,F4: DS_DPEP1+,True,True,2.0,24.0,-0.9061891712682678,-1.2626948894819516,-0.5578303745512462,1.3973899819043796
GSE181297,F4: TNN+COCH+,True,True,2.0,14.0,-0.15533633082479323,-0.14276414130427342,0.014056604407816658,0.3941876183089383
GSE181297,F5: NGFR+,True,True,2.0,12.0,-1.2468182262258962,-1.3057643704694237,-0.8670470674678965,1.782311811564228
GSE181297,F6: Inflammatory myofibroblast,True,True,2.0,162.0,0.6943024447521363,0.521491081033432,0.5167105352887071,-0.9447146367591972
GSE181297,F6: Myofibroblast,True,True,2.0,3437.0,1.444646111742992,1.3567059388101543,1.641343992649085,-1.1672936824028435
GSE181297,F7: Fascia-like myofibroblast,True,True,2.0,258.0,1.749750011060283,1.7064833555217709,1.9692667852020602,-1.440221965772385
GSE181316,F1: Superficial,True,True,3.0,2462.0,-0.5621771445777369,-0.7063549513129356,-1.2454696006985533,-0.4012944585829698
GSE181316,F2/3: Stroma_PPARG+,True,True,3.0,2621.0,-0.9740476777587214,-1.173506421050372,-1.155153202808381,0.71868113741746
GSE181316,F2: Universal,True,True,3.0,2796.0,-0.662049455344348,-0.6174490891202239,-0.7852045966414629,0.48839543595614926
GSE181316,F3: FRC-like,True,True,3.0,1963.0,-0.922251308207781,-1.2174624386101605,-1.365685345306765,0.296990340092775
GSE181316,F4: DP_HHIP+,True,True,2.0,10.0,-0.28342241879105384,-0.36202154530062974,-1.4516649802033617,-1.3638495852269006
GSE181316,F4: DS_DPEP1+,True,True,3.0,691.0,-0.23651982306708513,-0.42855283101502323,-0.6766063467269104,-0.3840210078490736
GSE181316,F4: TNN+COCH+,True,True,3.0,187.0,-0.17119020098251597,-0.2792335202762503,-0.5867561646273546,-0.414775591007909
GSE181316,F5: NGFR+,True,True,3.0,89.0,-0.8563019228593381,-1.0502673831158682,-1.1609024467325058,0.42680214947419104
GSE181316,F5: RAMP1+,True,True,3.0,445.0,-0.6100793329694668,-0.7694356049962083,-1.0758286881246475,-0.04664718854079524
